TEMPAT KEJADIAN PENCURIAN,WAKTU KEJADIAN,PELAKU MENGGUNAKAN ALAT,SASARAN KEJAHATAN,JUMLAH KERUGIAN,Modus Operandi,JENIS PENCURIAN
AREA PARKIR,SIANG,TIDAK,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS
AREA PARKIR,DINI HARI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
HALAMAN RUMAH,DINI HARI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
DALAM RUMAH,SORE,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS
DALAM RUMAH,SIANG,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS
AREA PARKIR,SORE,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,SIANG,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,SIANG,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS
HALAMAN RUMAH,DINI HARI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
HALAMAN RUMAH,SORE,YA,BENDA BERGERAK,BESAR,MERAMPAS,CURAS
HALAMAN RUMAH,PAGI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
JALAN RAYA,PAGI,TIDAK,BENDA TIDAK BERGERAK,BESAR,MERAMPAS,CURAS
DALAM RUMAH,SIANG,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS
JALAN RAYA,SIANG,TIDAK,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS
DALAM RUMAH,SIANG,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS
DALAM RUMAH,SORE,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS
JALAN RAYA,SIANG,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS
HALAMAN RUMAH,DINI HARI,TIDAK,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS
JALAN RAYA,PAGI,TIDAK,BENDA TIDAK BERGERAK,BESAR,MERAMPAS,CURAS
DALAM RUMAH,MALAM,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS
HALAMAN RUMAH,PAGI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,SIANG,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
HALAMAN RUMAH,PAGI,YA,GABUNGAN,BESAR,MERUSAK KUNCI,CURAT
HALAMAN RUMAH,PAGI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
HALAMAN RUMAH,PAGI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,SIANG,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,MALAM,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,SIANG,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,MALAM,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
JALAN RAYA,MALAM,TIDAK,BENDA TIDAK BERGERAK,BESAR,MERAMPAS,CURAS
DALAM RUMAH,PAGI,YA,BENDA TIDAK BERGERAK,BESAR,MERUSAK RUMAH,CURAT
HALAMAN RUMAH,MALAM,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
DALAM RUMAH,SORE,TIDAK,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS
AREA PARKIR,DINI HARI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,MALAM,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,PAGI,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS
AREA PARKIR,SIANG,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
DALAM RUMAH,DINI HARI,YA,BENDA TIDAK BERGERAK,BESAR,MERUSAK RUMAH,CURAT
AREA PARKIR,MALAM,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
DALAM RUMAH,SIANG,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,SIANG,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,SIANG,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,SORE,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,PAGI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,MALAM,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,MALAM,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,PAGI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,MALAM,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,MALAM,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
HALAMAN RUMAH,DINI HARI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
DALAM RUMAH,MALAM,YA,BENDA TIDAK BERGERAK,BESAR,MENGANCAM,CURAS
DALAM RUMAH,MALAM,YA,GABUNGAN,BESAR,MENGANCAM,CURAS
AREA PARKIR,PAGI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
JALAN RAYA,MALAM,TIDAK,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS
JALAN RAYA,MALAM,TIDAK,BENDA TIDAK BERGERAK,BESAR,MERAMPAS,CURAS
JALAN RAYA,SIANG,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS
AREA PARKIR,DINI HARI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,PAGI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
DALAM RUMAH,PAGI,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS
JALAN RAYA,MALAM,YA,BENDA BERGERAK,BESAR,MENGANCAM,CURAS
AREA PARKIR,SIANG,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
HALAMAN RUMAH,DINI HARI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
HALAMAN RUMAH,DINI HARI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,PAGI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,PAGI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
JALAN RAYA,PAGI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
DALAM RUMAH,DINI HARI,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS
HALAMAN RUMAH,PAGI,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS
HALAMAN RUMAH,PAGI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
HALAMAN RUMAH,PAGI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
DALAM RUMAH,PAGI,YA,BENDA TIDAK BERGERAK,BESAR,MERUSAK KUNCI,CURAT
DALAM RUMAH,DINI HARI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,MALAM,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,MALAM,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
DALAM RUMAH,DINI HARI,YA,GABUNGAN,BESAR,MENGANCAM,CURAS
HALAMAN RUMAH,DINI HARI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
HALAMAN RUMAH,SORE,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,PAGI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
JALAN RAYA,MALAM,TIDAK,BENDA TIDAK BERGERAK,BESAR,MERAMPAS,CURAS
AREA PARKIR,SORE,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
HALAMAN RUMAH,MALAM,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,SIANG,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
HALAMAN RUMAH,SORE,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,SORE,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
DALAM RUMAH,PAGI,TIDAK,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS
JALAN RAYA,SORE,TIDAK,GABUNGAN,BESAR,MENGAMBIL,CUBIS
HALAMAN RUMAH,PAGI,YA,GABUNGAN,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,PAGI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
DALAM RUMAH,DINI HARI,YA,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS
AREA PARKIR,MALAM,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
DALAM RUMAH,SORE,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,MALAM,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,MALAM,TIDAK,BENDA BERGERAK,BESAR,MENGAMBIL,CUBIS
HALAMAN RUMAH,PAGI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
JALAN RAYA,PAGI,YA,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS
AREA PARKIR,MALAM,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
JALAN RAYA,DINI HARI,TIDAK,BENDA TIDAK BERGERAK,KECIL,MERAMPAS,CURAS
HALAMAN RUMAH,SIANG,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,MALAM,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,SORE,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,PAGI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,PAGI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
HALAMAN RUMAH,SIANG,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
DALAM RUMAH,PAGI,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS
AREA PARKIR,PAGI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,SIANG,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
HALAMAN RUMAH,PAGI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
DALAM RUMAH,PAGI,YA,BENDA TIDAK BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,PAGI,YA,BENDA TIDAK BERGERAK,BESAR,MERUSAK RUMAH,CURAT
DALAM RUMAH,PAGI,TIDAK,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
HALAMAN RUMAH,SIANG,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
JALAN RAYA,SIANG,TIDAK,BENDA BERGERAK,BESAR,MENGAMBIL,CUBIS
DALAM RUMAH,MALAM,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS
AREA PARKIR,MALAM,YA,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS
AREA PARKIR,SIANG,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
HALAMAN RUMAH,PAGI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
DALAM RUMAH,PAGI,YA,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS
JALAN RAYA,SORE,TIDAK,BENDA TIDAK BERGERAK,BESAR,MERAMPAS,CURAS
DALAM RUMAH,PAGI,YA,BENDA TIDAK BERGERAK,BESAR,MERUSAK KUNCI,CURAT
DALAM RUMAH,PAGI,YA,BENDA TIDAK BERGERAK,BESAR,MERUSAK KUNCI,CURAT
JALAN RAYA,SORE,YA,BENDA BERGERAK,BESAR,MENGANCAM,CURAS
AREA PARKIR,MALAM,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
DALAM RUMAH,SORE,TIDAK,BENDA BERGERAK,BESAR,MENGAMBIL,CUBIS
DALAM RUMAH,DINI HARI,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS
AREA PARKIR,PAGI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
HALAMAN RUMAH,PAGI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
JALAN RAYA,SIANG,TIDAK,BENDA BERGERAK,BESAR,MERAMPAS,CURAS
DALAM RUMAH,DINI HARI,TIDAK,GABUNGAN,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,DINI HARI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
JALAN RAYA,PAGI,TIDAK,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS
AREA PARKIR,MALAM,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,MALAM,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,SIANG,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
DALAM RUMAH,SORE,TIDAK,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,MALAM,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
JALAN RAYA,DINI HARI,YA,BENDA BERGERAK,BESAR,MENGANCAM,CURAS
AREA PARKIR,SIANG,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
JALAN RAYA,SIANG,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS
DALAM RUMAH,PAGI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
DALAM RUMAH,PAGI,YA,BENDA TIDAK BERGERAK,BESAR,MERUSAK KUNCI,CURAT
JALAN RAYA,PAGI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,SIANG,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,SIANG,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
HALAMAN RUMAH,MALAM,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
HALAMAN RUMAH,PAGI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
HALAMAN RUMAH,SIANG,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,MALAM,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
JALAN RAYA,MALAM,YA,BENDA TIDAK BERGERAK,KECIL,MENGANCAM,CURAS
DALAM RUMAH,PAGI,YA,BENDA TIDAK BERGERAK,BESAR,MERUSAK KUNCI,CURAT
HALAMAN RUMAH,SIANG,YA,BENDA TIDAK BERGERAK,BESAR,MERUSAK KUNCI,CURAT
JALAN RAYA,SORE,TIDAK,BENDA BERGERAK,BESAR,MERAMPAS,CURAS
HALAMAN RUMAH,DINI HARI,TIDAK,BENDA TIDAK BERGERAK,BESAR,MERUSAK KUNCI,CURAT
DALAM RUMAH,SORE,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS
AREA PARKIR,PAGI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
JALAN RAYA,SIANG,TIDAK,BENDA TIDAK BERGERAK,KECIL,MERAMPAS,CURAS
AREA PARKIR,PAGI,YA,BENDA TIDAK BERGERAK,KECIL,MENGANCAM,CURAS
AREA PARKIR,SORE,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,SIANG,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,SIANG,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,PAGI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,PAGI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
DALAM RUMAH,MALAM,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS
HALAMAN RUMAH,PAGI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
HALAMAN RUMAH,SIANG,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
HALAMAN RUMAH,DINI HARI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,SORE,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
JALAN RAYA,MALAM,YA,BENDA BERGERAK,BESAR,MENGANCAM,CURAS
AREA PARKIR,SIANG,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
GANG RUMAH,DINI HARI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
DALAM RUMAH,SORE,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
JALAN RAYA,SIANG,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS
AREA PARKIR,PAGI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,SIANG,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,SIANG,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,PAGI,TIDAK,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS
HALAMAN RUMAH,SIANG,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
SEKOLAH,SIANG,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS
DALAM RUMAH,DINI HARI,YA,BENDA TIDAK BERGERAK,BESAR,MENGANCAM,CURAS
HALAMAN RUMAH,SORE,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,SIANG,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,SORE,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
HALAMAN RUMAH,SORE,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,SIANG,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
HALAMAN RUMAH,SORE,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
DALAM RUMAH,SIANG,YA,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS
JALAN RAYA,MALAM,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS
JALAN RAYA,SIANG,TIDAK,BENDA BERGERAK,BESAR,MENGAMBIL,CUBIS
AREA PARKIR,MALAM,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
JALAN RAYA,SIANG,TIDAK,BENDA TIDAK BERGERAK,BESAR,MERAMPAS,CURAS
DALAM RUMAH,PAGI,TIDAK,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS
JALAN RAYA,SIANG,TIDAK,BENDA TIDAK BERGERAK,BESAR,MERAMPAS,CURAS
HALAMAN RUMAH,MALAM,TIDAK,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
DALAM RUMAH,SIANG,YA,BENDA TIDAK BERGERAK,KECIL,MERUSAK KUNCI,CURAT
DALAM RUMAH,SORE,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
JALAN RAYA,SIANG,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS
AREA PARKIR,SIANG,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
JALAN RAYA,SORE,TIDAK,BENDA BERGERAK,BESAR,MERAMPAS,CURAS
AREA PARKIR,SIANG,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
JALAN RAYA,MALAM,TIDAK,BENDA TIDAK BERGERAK,BESAR,MERAMPAS,CURAS
AREA PARKIR,PAGI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,PAGI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,PAGI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,PAGI,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS
AREA PARKIR,DINI HARI,YA,GABUNGAN,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,SIANG,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
DALAM RUMAH,SIANG,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS
HALAMAN RUMAH,MALAM,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
JALAN RAYA,SIANG,TIDAK,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS
AREA JALAN RAYA,SIANG,YA,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS
JALAN RAYA,SORE,TIDAK,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS
HALAMAN RUMAH,SORE,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,MALAM,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,SORE,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
DALAM RUMAH,PAGI,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS
JALAN RAYA,MALAM,YA,BENDA TIDAK BERGERAK,BESAR,MENGANCAM,CURAS
HALAMAN RUMAH,DINI HARI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
JALAN RAYA,DINI HARI,YA,BENDA TIDAK BERGERAK,BESAR,MENGANCAM,CURAS
AREA PARKIR,DINI HARI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
JALAN RAYA,PAGI,YA,BENDA TIDAK BERGERAK,KECIL,MERAMPAS,CURAS
JALAN RAYA,PAGI,TIDAK,BENDA TIDAK BERGERAK,BESAR,MERAMPAS,CURAS
DALAM RUMAH,PAGI,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS
JALAN RAYA,MALAM,TIDAK,BENDA TIDAK BERGERAK,BESAR,MERAMPAS,CURAS
JALAN RAYA,PAGI,TIDAK,BENDA BERGERAK,BESAR,MENGAMBIL,CUBIS
AREA PARKIR,MALAM,TIDAK,BENDA BERGERAK,BESAR,MENGAMBIL,CUBIS
AREA PARKIR,PAGI,TIDAK,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS
JALAN RAYA,SIANG,TIDAK,BENDA BERGERAK,BESAR,MENGAMBIL,CUBIS
DALAM RUMAH,DINI HARI,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS
AREA PARKIR,PAGI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
HALAMAN RUMAH,PAGI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
DALAM RUMAH,MALAM,TIDAK,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS
DALAM RUMAH,PAGI,TIDAK,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS
HALAMAN RUMAH,MALAM,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
JALAN RAYA,PAGI,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS
DALAM RUMAH,PAGI,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS
DALAM RUMAH,MALAM,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
DALAM RUMAH,SIANG,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS
DALAM RUMAH,SIANG,TIDAK,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS
JALAN RAYA,SORE,TIDAK,BENDA BERGERAK,BESAR,MERAMPAS,CURAS
JALAN RAYA,DINI HARI,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS
DALAM RUMAH,DINI HARI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
HALAMAN RUMAH,DINI HARI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
HALAMAN RUMAH,SIANG,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS
AREA PARKIR,SIANG,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,SORE,TIDAK,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
HALAMAN RUMAH,MALAM,YA,BENDA BERGERAK,BESAR,MERAMPAS,CURAS
AREA PARKIR,SIANG,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,PAGI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
HALAMAN RUMAH,SORE,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,DINI HARI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,PAGI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
JALAN RAYA,SORE,YA,BENDA BERGERAK,BESAR,MENGANCAM,CURAS
DALAM RUMAH,SIANG,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS
JALAN RAYA,MALAM,TIDAK,BENDA TIDAK BERGERAK,BESAR,MERAMPAS,CURAS
JALAN RAYA,SIANG,TIDAK,BENDA TIDAK BERGERAK,BESAR,MERAMPAS,CURAS
JALAN RAYA,MALAM,YA,BENDA BERGERAK,BESAR,MENGANCAM,CURAS
AREA PARKIR,SORE,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
DALAM RUMAH,PAGI,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS
JALAN RAYA,SORE,TIDAK,BENDA TIDAK BERGERAK,KECIL,MERAMPAS,CURAS
AREA PARKIR,SIANG,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,SORE,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
JALAN RAYA,PAGI,TIDAK,BENDA TIDAK BERGERAK,KECIL,MERAMPAS,CURAS
AREA PARKIR,SIANG,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
DALAM RUMAH,PAGI,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS
JALAN RAYA,SIANG,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
