JENIS KELAMIN KORBAN,USIA KORBAN,PEKERJAAN KORBAN,DAERAH TINGGAL KORBAN,TEMPAT KEJADIAN PENCURIAN,DAERAH PERISTIWA,WAKTU KEJADIAN,HARI KEJADIAN,PELAKU MENGGUNAKAN ALAT,SASARAN KEJAHATAN,JUMLAH KERUGIAN,MO,JENIS PENCURIAN,PASAL PENCURIAN
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PERKOTAAN,AREA PARKIR,PEDESAAN,SORE,RABU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PERKOTAAN,AREA PARKIR,PERKOTAAN,MALAM,RABU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,LANSIA,TENAGA PROFESIONAL,PEDESAAN,DALAM RUMAH,PEDESAAN,SIANG,JUMAT,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PINGGIRAN KOTA,AREA PARKIR,PERKOTAAN,SIANG,JUMAT,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PERKOTAAN,AREA PARKIR,PERKOTAAN,SIANG,JUMAT,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,POLRI,PERKOTAAN,JALAN RAYA,PERKOTAAN,MALAM,KAMIS,TIDAK,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,DEWASA,TENAGA PROFESIONAL,PEDESAAN,AREA PARKIR,PERKOTAAN,SIANG,SENIN,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PEDESAAN,AREA PARKIR,PERKOTAAN,SORE,SENIN,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,LANSIA,TIDAK BEKERJA,PERKOTAAN,AREA PARKIR,PERKOTAAN,PAGI,KAMIS,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,LANSIA,ANGGOTA TNI,PEDESAAN,JALAN RAYA ,PEDESAAN,SIANG,RABU,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PEDESAAN,DALAM RUMAH,PERKOTAAN,PAGI,RABU,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,DEWASA,TENAGA WIRA USAHA,PERKOTAAN,JALAN RAYA,PERKOTAAN,PAGI,SENIN,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,LANSIA,TENAGA PROFESIONAL,PERKOTAAN,HALAMAN RUMAH,PERKOTAAN,SIANG,KAMIS,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,LANSIA,TENAGA WIRA USAHA,PERKOTAAN,JALAN RAYA,PERKOTAAN,MALAM,RABU,YA,BENDA TIDAK BERGERAK,BESAR,MERAMPAS,CURAS,365 KUHP
LAKI-LAKI,REMAJA,WIRA USAHA,PEDESAAN,AREA PARKIR,PERKOTAAN,SIANG,KAMIS,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PEDESAAN,AREA PARKIR,PEDESAAN,SIANG,KAMIS,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,LANSIA,TENAGA PROFESIONAL,PINGGIRAN KOTA,JALAN RAYA,PINGGIRAN KOTA,MALAM,KAMIS,TIDAK,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,LANSIA,TIDAK BEKERJA,PEDESAAN,HALAMAN RUMAH,PEDESAAN,SORE,KAMIS,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PEDESAAN,AREA PARKIR,PEDESAAN,SORE,MINGGU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PERKOTAAN,AREA PARKIR,PERKOTAAN,SIANG,SABTU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PEDESAAN,AREA PARKIR,PINGGIRAN KOTA,DINI HARI,SENIN,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PEDESAAN,DALAM RUMAH,PEDESAAN,PAGI,MINGGU,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PEDESAAN,JALAN RAYA,PERKOTAAN,SORE,SENIN,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PEDESAAN,JALAN RAYA,PERKOTAAN,SORE,SABTU,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PEDESAAN,DALAM RUMAH,PERKOTAAN,SORE,SENIN,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PERKOTAAN,JALAN RAYA,PERKOTAAN,DINI HARI,JUMAT,TIDAK,BENDA TIDAK BERGERAK,BESAR,MERAMPAS,CURAS,365 KUHP
LAKI-LAKI,REMAJA,TENAGA WIRA USAHA,PEDESAAN,JALAN RAYA,PERKOTAAN,PAGI,JUMAT,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PEDESAAN,AREA PARKIR,PERKOTAAN,SORE,KAMIS,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PERKOTAAN,JALAN RAYA,PINGGIRAN KOTA,SORE,JUMAT,TIDAK,BENDA TIDAK BERGERAK,BESAR,MERAMPAS,CURAS,365 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PERKOTAAN,DALAM RUMAH,PERKOTAAN,SIANG,JUMAT,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PEDESAAN,AREA PARKIR,PERKOTAAN,SORE,KAMIS,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PERKOTAAN,AREA PARKIR,PERKOTAAN,PAGI,SABTU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PERKOTAAN,HALAMAN RUMAH,PERKOTAAN,MALAM,SABTU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TENAGA WIRA USAHA,PERKOTAAN,parkiran rumah,PERKOTAAN,DINI HARI,JUMAT,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PERKOTAAN,parkiran rumah,PERKOTAAN,PAGI,MINGGU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PINGGIRAN KOTA,AREA PARKIR,PERKOTAAN,SIANG,RABU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TENAGA WIRA USAHA,PEDESAAN,AREA PARKIR,PERKOTAAN,SIANG,JUMAT,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PEDESAAN,JALAN RAYA,PEDESAAN,SORE,JUMAT,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,DEWASA,TENAGA WIRA USAHA,PERKOTAAN,AREA PARKIR,PERKOTAAN,MALAM,SABTU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PINGGIRAN KOTA,AREA PARKIR,PERKOTAAN,PAGI,MINGGU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,REMAJA,TENAGA WIRA USAHA,PERKOTAAN,AREA PARKIR,PERKOTAAN,MALAM,SENIN,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,WIRA USAHA,PEDESAAN,AREA PARKIR,PERKOTAAN,MALAM,SENIN,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,PEKERJA KASAR,PERKOTAAN,AREA PARKIR,PERKOTAAN,SIANG,JUMAT,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,LANSIA,PEKERJA KASAR,PERKOTAAN,AREA PARKIR,PERKOTAAN,SIANG,SENIN,YA,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,REMAJA,PEKERJA KASAR,PERKOTAAN,AREA PARKIR,PERKOTAAN,PAGI,SELASA,YA,BENDA TIDAK BERGERAK,KECIL,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,DEWASA,WIRA USAHA,PERKOTAAN,AREA PARKIR,PEDESAAN,SORE,SENIN,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PEDESAAN,AREA PARKIR,PERKOTAAN,MALAM,SELASA,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TENAGA WIRA USAHA,PERKOTAAN,HALAMAN RUMAH,PERKOTAAN,PAGI,KAMIS,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PERKOTAAN,AREA PARKIR,PERKOTAAN,PAGI,JUMAT,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PERKOTAAN,AREA PARKIR,PERKOTAAN,MALAM,SABTU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PERKOTAAN,DALAM RUMAH,PERKOTAAN,SIANG,JUMAT,TIDAK,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,REMAJA,WIRA USAHA,PERKOTAAN,AREA PARKIR,PERKOTAAN,MALAM,SELASA,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,DEWASA,TENAGA WIRA USAHA,PERKOTAAN,HALAMAN RUMAH,PERKOTAAN,SIANG,KAMIS,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,LANSIA,TENAGA WIRA USAHA,PEDESAAN,DALAM RUMAH,PERKOTAAN,SIANG,RABU,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PINGGIRAN KOTA,JALAN RAYA,PERKOTAAN,PAGI,RABU,YA,BENDA BERGERAK,BESAR,MENGANCAM,CURAS,365 KUHP
PEREMPUAN,DEWASA,TENAGA WIRA USAHA,PINGGIRAN KOTA,DALAM RUMAH,PERKOTAAN,PAGI,KAMIS,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,DEWASA,TENAGA PROFESIONAL,PINGGIRAN KOTA,HALAMAN RUMAH,PINGGIRAN KOTA,SORE,JUMAT,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,LANSIA,TIDAK BEKERJA,PERKOTAAN,JALAN RAYA,PERKOTAAN,MALAM,SABTU,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,DEWASA,TENAGA WIRA USAHA,PERKOTAAN,JALAN RAYA,PERKOTAAN,DINI HARI,MINGGU,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PEDESAAN,JALAN RAYA,PEDESAAN,MALAM,SABTU,YA,BENDA BERGERAK,BESAR,MENGANCAM,CURAS,365 KUHP
PEREMPUAN,DEWASA,TIDAK BEKERJA,PINGGIRAN KOTA,AREA PARKIR,PERKOTAAN,PAGI,MINGGU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,WIRA USAHA,PINGGIRAN KOTA,HALAMAN RUMAH,PERKOTAAN,DINI HARI,MINGGU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PEDESAAN,HALAMAN RUMAH,PEDESAAN,SORE,SELASA,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,LANSIA,TENAGA USAHA PERTANIAN,PEDESAAN,AREA PARKIR,PERKOTAAN,DINI HARI,SELASA,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,TENAGA WIRA USAHA,PEDESAAN,AREA PARKIR,PERKOTAAN,MALAM,SENIN,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PERKOTAAN,DALAM RUMAH,PERKOTAAN,DINI HARI,MINGGU,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PEDESAAN,DALAM RUMAH,PEDESAAN,MALAM,SELASA,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PEDESAAN,AREA PARKIR,PERKOTAAN,SORE,JUMAT,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PEDESAAN,JALAN RAYA,PEDESAAN,SIANG,SABTU,TIDAK,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,DEWASA,WIRA USAHA,PERKOTAAN,HALAMAN RUMAH,PERKOTAAN,DINI HARI,MINGGU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,TIDAK BEKERJA,PEDESAAN,JALAN RAYA,PERKOTAAN,MALAM,SABTU,TIDAK,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,DEWASA,TIDAK BEKERJA,PERKOTAAN,HALAMAN RUMAH,PERKOTAAN,PAGI,SELASA,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PERKOTAAN,DALAM RUMAH,PERKOTAAN,PAGI,SENIN,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,LANSIA,TENAGA PROFESIONAL,PEDESAAN,AREA PARKIR,PERKOTAAN,SIANG,SABTU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,LANSIA,TIDAK BEKERJA,PERKOTAAN,HALAMAN RUMAH,PERKOTAAN,PAGI,SENIN,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,TENAGA WIRA USAHA,PINGGIRAN KOTA,AREA PARKIR,PERKOTAAN,SIANG,JUMAT,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PINGGIRAN KOTA,AREA PARKIR,PERKOTAAN,SIANG,SENIN,TIDAK,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PEDESAAN,AREA PARKIR,PEDESAAN,SORE,SENIN,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,PEKERJA KASAR,PERKOTAAN,DALAM RUMAH,PERKOTAAN,PAGI,SELASA,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,LANSIA,WIRA USAHA,PEDESAAN,JALAN RAYA,PERKOTAAN,SORE,RABU,YA,BENDA TIDAK BERGERAK,BESAR,MENGANCAM,CURAS,365 KUHP
LAKI-LAKI,DEWASA,PEKERJA KASAR,PERKOTAAN,HALAMAN RUMAH,PERKOTAAN,SIANG,JUMAT,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PERKOTAAN,JALAN RAYA,PERKOTAAN,MALAM,SABTU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PERKOTAAN,AREA PARKIR,PEDESAAN,PAGI,SELASA,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PERKOTAAN,JALAN RAYA,PERKOTAAN,SORE,SELASA,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,DEWASA,TIDAK BEKERJA,PERKOTAAN,DALAM RUMAH,PERKOTAAN,SORE,RABU,TIDAK,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,DEWASA,TIDAK BEKERJA,PERKOTAAN,AREA PARKIR,PERKOTAAN,PAGI,KAMIS,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,TENAGA PROFESIONAL,PEDESAAN,HALAMAN RUMAH,PEDESAAN,DINI HARI,KAMIS,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,DEWASA,TIDAK BEKERJA,PINGGIRAN KOTA,AREA PARKIR,PERKOTAAN,SORE,KAMIS,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PEDESAAN,AREA PARKIR,PEDESAAN,SORE,SELASA,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PEDESAAN,HALAMAN RUMAH,PERKOTAAN,SIANG,KAMIS,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PINGGIRAN KOTA,AREA PARKIR,PERKOTAAN,PAGI,JUMAT,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,WIRA USAHA,PEDESAAN,AREA PARKIR,PEDESAAN,PAGI,MINGGU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,DEWASA,TIDAK BEKERJA,PERKOTAAN,JALAN RAYA,PERKOTAAN,SORE,SENIN,TIDAK,BENDA TIDAK BERGERAK,KECIL,MERAMPAS,CURAS,365 KUHP
LAKI-LAKI,DEWASA,TENAGA WIRA USAHA,PEDESAAN,JALAN RAYA,PERKOTAAN,SIANG,JUMAT,TIDAK,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,DEWASA,TIDAK BEKERJA,PERKOTAAN,JALAN RAYA,PERKOTAAN,SIANG,MINGGU,YA,BENDA TIDAK BERGERAK,BESAR,MENGANCAM,CURAS,365 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PEDESAAN,AREA PARKIR,PEDESAAN,SORE,MINGGU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,DEWASA,TENAGA PROFESIONAL,PERKOTAAN,DALAM RUMAH,PERKOTAAN,PAGI,SENIN,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PERKOTAAN,DALAM RUMAH,PERKOTAAN,SORE,RABU,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,REMAJA,WIRA USAHA,PERKOTAAN,AREA PARKIR,PERKOTAAN,MALAM,JUMAT,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PEDESAAN,AREA PARKIR,PERKOTAAN,MALAM,JUMAT,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,DEWASA,TIDAK BEKERJA,PERKOTAAN,DALAM RUMAH,PINGGIRAN KOTA,PAGI,SELASA,TIDAK,BENDA BERGERAK,BESAR,MERAMPAS,CURAS,365 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PEDESAAN,JALAN RAYA,PEDESAAN,PAGI,SELASA,TIDAK,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,LANSIA,TENAGA USAHA PERTANIAN,PEDESAAN,AREA PARKIR,PERKOTAAN,SORE,RABU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,TIDAK BEKERJA,PERKOTAAN,AREA PARKIR,PERKOTAAN,DINI HARI,MINGGU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,TENAGA WIRA USAHA,PEDESAAN,AREA PARKIR,PERKOTAAN,DINI HARI,MINGGU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,POLRI,PEDESAAN,DALAM RUMAH,PEDESAAN,MALAM,SELASA,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PERKOTAAN,AREA PARKIR,PEDESAAN,SIANG,RABU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PERKOTAAN,HALAMAN RUMAH,PEDESAAN,PAGI,SENIN,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TENAGA WIRA USAHA,PERKOTAAN,HALAMAN RUMAH,PERKOTAAN,SIANG,KAMIS,TIDAK,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PEDESAAN,DALAM RUMAH,PERKOTAAN,PAGI,MINGGU,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PERKOTAAN,HALAMAN RUMAH,PERKOTAAN,SIANG,MINGGU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,DEWASA,TENAGA PROFESIONAL,PERKOTAAN,HALAMAN RUMAH,PERKOTAAN,PAGI,SENIN,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,PEKERJA KASAR,PERKOTAAN,AREA PARKIR,PERKOTAAN,MALAM,MINGGU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,TENAGA USAHA PERTANIAN,PEDESAAN,JALAN RAYA,PERKOTAAN,DINI HARI,KAMIS,TIDAK,BENDA TIDAK BERGERAK,BESAR,MERAMPAS,CURAS,365 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PERKOTAAN,AREA PARKIR,PERKOTAAN,SIANG,KAMIS,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TENAGA WIRA USAHA,PINGGIRAN KOTA,AREA PARKIR,PERKOTAAN,SORE,JUMAT,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PEDESAAN,AREA PARKIR,PERKOTAAN,MALAM,JUMAT,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,REMAJA,TENAGA WIRA USAHA,PEDESAAN,JALAN RAYA,PERKOTAAN,MALAM,SELASA,TIDAK,BENDA TIDAK BERGERAK,KECIL,MERAMPAS,CURAS,365 KUHP
PEREMPUAN,MANULA,TIDAK BEKERJA,PEDESAAN,DALAM RUMAH,PEDESAAN,PAGI,RABU,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PERKOTAAN,AREA PARKIR,PEDESAAN,PAGI,KAMIS,YA,BENDA BERGERAK,KECIL,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,DEWASA,TIDAK BEKERJA,PERKOTAAN,HALAMAN RUMAH,PERKOTAAN,PAGI,JUMAT,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PERKOTAAN,AREA PARKIR,PERKOTAAN,PAGI,KAMIS,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,DEWASA,TIDAK BEKERJA,PERKOTAAN,AREA PARKIR,PERKOTAAN,SORE,SABTU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PEDESAAN,AREA PARKIR,PERKOTAAN,MALAM,RABU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PEDESAAN,DALAM RUMAH,PERKOTAAN,SIANG,RABU,YA,BENDA TIDAK BERGERAK,BESAR,MERUSAK RUMAH,CURAT,363 KUHP
